Country,Education,Experience,Age,Salary
Canada,Bachelor’s degree,1.0,18-24 years old,37800.0
United States,Less than a Bachelors,3.0,18-24 years old,27000.0
Brazil,Bachelor’s degree,17.0,35-44 years old,41232.0
United States,Master’s degree,8.0,25-34 years old,122000.0
United States,Bachelor’s degree,23.0,45-54 years old,125000.0
United States,Less than a Bachelors,22.0,35-44 years old,170000.0
Canada,Master’s degree,0.5,18-24 years old,52942.0
India,Master’s degree,0.5,25-34 years old,22339.0
Canada,Less than a Bachelors,5.0,25-34 years old,75631.0
United States,Bachelor’s degree,17.0,35-44 years old,165000.0
Italy,Bachelor’s degree,1.0,25-34 years old,28800.0
Canada,Less than a Bachelors,25.0,35-44 years old,94550.0
United States,Less than a Bachelors,7.0,25-34 years old,85000.0
United States,Bachelor’s degree,7.0,25-34 years old,63000.0
Germany,Bachelor’s degree,4.0,25-34 years old,64859.0
United States,Master’s degree,3.0,25-34 years old,95000.0
United States,Bachelor’s degree,15.0,35-44 years old,113000.0
United States,Bachelor’s degree,1.0,25-34 years old,48000.0
Italy,Less than a Bachelors,5.0,25-34 years old,75669.0
United States,Master’s degree,1.0,25-34 years old,119000.0
Switzerland,Master’s degree,6.0,25-34 years old,93517.0
Germany,Post grad,3.0,18-24 years old,67452.0
United States,Less than a Bachelors,7.0,25-34 years old,85000.0
India,Post grad,12.0,25-34 years old,139620.0
United States,Post grad,5.0,25-34 years old,73000.0
Brazil,Bachelor’s degree,3.0,18-24 years old,17388.0
United Kingdom,Master’s degree,6.0,25-34 years old,62045.0
United States,Bachelor’s degree,5.0,25-34 years old,90000.0
United States,Bachelor’s degree,10.0,25-34 years old,140000.0
United States,Post grad,9.0,35-44 years old,230000.0
Canada,Post grad,3.0,25-34 years old,71850.0
Germany,Master’s degree,3.0,18-24 years old,59454.0
United States,Bachelor’s degree,2.0,25-34 years old,60000.0
United States,Master’s degree,6.0,35-44 years old,55000.0
United States,Post grad,9.0,25-34 years old,68200.0
Spain,Master’s degree,18.0,45-54 years old,70264.0
France,Master’s degree,7.0,35-44 years old,38915.0
United States,Bachelor’s degree,9.0,25-34 years old,98000.0
United Kingdom,Master’s degree,8.0,25-34 years old,116333.0
United States,Bachelor’s degree,3.0,25-34 years old,205000.0
Canada,Less than a Bachelors,20.0,35-44 years old,60505.0
Germany,Master’s degree,21.0,45-54 years old,75669.0
United States,Bachelor’s degree,2.0,25-34 years old,150000.0
United States,Master’s degree,5.0,18-24 years old,98000.0
Germany,Master’s degree,5.0,25-34 years old,59454.0
Poland,Master’s degree,2.0,18-24 years old,15192.0
Germany,Master’s degree,6.0,25-34 years old,58368.0
Germany,Master’s degree,8.0,25-34 years old,64859.0
United States,Master’s degree,2.0,25-34 years old,90000.0
United States,Master’s degree,14.0,35-44 years old,158000.0
United States,Less than a Bachelors,22.0,45-54 years old,105000.0
United States,Less than a Bachelors,10.0,25-34 years old,150000.0
United States,Master’s degree,22.0,35-44 years old,120000.0
Switzerland,Master’s degree,9.0,25-34 years old,121979.0
United States,Master’s degree,1.0,35-44 years old,105000.0
United Kingdom,Bachelor’s degree,15.0,35-44 years old,187426.0
United States,Master’s degree,8.0,35-44 years old,180000.0
United States,Bachelor’s degree,12.0,35-44 years old,135000.0
Poland,Master’s degree,15.0,35-44 years old,60750.0
United Kingdom,Less than a Bachelors,27.0,45-54 years old,129259.0
United States,Master’s degree,5.0,25-34 years old,100000.0
United States,Less than a Bachelors,4.0,18-24 years old,69800.0
United States,Post grad,45.0,45-54 years old,160000.0
United Kingdom,Bachelor’s degree,2.0,18-24 years old,155111.0
United States,Post grad,5.0,45-54 years old,180000.0
Canada,Less than a Bachelors,10.0,35-44 years old,69581.0
Canada,Less than a Bachelors,29.0,45-54 years old,80000.0
United States,Bachelor’s degree,34.0,45-54 years old,120000.0
Germany,Master’s degree,3.0,25-34 years old,69183.0
United States,Master’s degree,36.0,55-64 years old,160000.0
United States,Bachelor’s degree,2.0,18-24 years old,80000.0
United States,Bachelor’s degree,12.0,35-44 years old,100000.0
United Kingdom,Bachelor’s degree,7.0,18-24 years old,45887.0
France,Master’s degree,0.5,25-34 years old,25944.0
United States,Bachelor’s degree,3.0,25-34 years old,62000.0
United States,Bachelor’s degree,4.0,25-34 years old,109200.0
United States,Master’s degree,10.0,25-34 years old,115200.0
Brazil,Less than a Bachelors,6.0,18-24 years old,10992.0
United States,Bachelor’s degree,3.0,25-34 years old,85000.0
United States,Master’s degree,3.0,18-24 years old,250000.0
Canada,Bachelor’s degree,10.0,25-34 years old,64287.0
United States,Bachelor’s degree,2.0,18-24 years old,35000.0
United Kingdom,Bachelor’s degree,4.0,18-24 years old,49632.0
United Kingdom,Master’s degree,0.5,25-34 years old,93067.0
Canada,Post grad,5.0,25-34 years old,98321.0
United States,Less than a Bachelors,21.0,35-44 years old,85000.0
Australia,Bachelor’s degree,5.0,25-34 years old,40080.0
United States,Post grad,15.0,55-64 years old,70000.0
Germany,Post grad,10.0,35-44 years old,64859.0
United States,Less than a Bachelors,10.0,35-44 years old,100000.0
Germany,Bachelor’s degree,12.0,25-34 years old,84316.0
United States,Bachelor’s degree,5.0,25-34 years old,69000.0
United States,Bachelor’s degree,3.0,25-34 years old,100000.0
Canada,Master’s degree,5.0,25-34 years old,71850.0
United States,Bachelor’s degree,2.0,25-34 years old,150000.0
United States,Bachelor’s degree,3.0,25-34 years old,70000.0
Switzerland,Master’s degree,6.0,25-34 years old,116896.0
United States,Bachelor’s degree,25.0,45-54 years old,200000.0
United States,Master’s degree,1.0,18-24 years old,105000.0
United States,Bachelor’s degree,17.0,35-44 years old,70000.0
United Kingdom,Bachelor’s degree,9.0,35-44 years old,33607.0
United States,Bachelor’s degree,5.0,25-34 years old,106000.0
United States,Post grad,10.0,25-34 years old,120000.0
United Kingdom,Post grad,3.0,25-34 years old,71093.0
Canada,Master’s degree,6.0,35-44 years old,71850.0
Netherlands,Master’s degree,3.0,25-34 years old,51888.0
Brazil,Master’s degree,10.0,25-34 years old,27488.0
United States,Post grad,8.0,25-34 years old,187000.0
United States,Bachelor’s degree,3.0,25-34 years old,121933.0
United States,Bachelor’s degree,3.0,35-44 years old,32000.0
Netherlands,Master’s degree,19.0,35-44 years old,270250.0
United Kingdom,Less than a Bachelors,18.0,35-44 years old,72385.0
India,Master’s degree,9.0,25-34 years old,48866.0
United States,Bachelor’s degree,3.0,18-24 years old,16000.0
United States,Post grad,10.0,25-34 years old,115000.0
United States,Bachelor’s degree,0.5,18-24 years old,65000.0
Canada,Bachelor’s degree,20.0,45-54 years old,109665.0
United States,Bachelor’s degree,2.0,18-24 years old,100000.0
Australia,Bachelor’s degree,4.0,25-34 years old,52112.0
United States,Less than a Bachelors,3.0,18-24 years old,35000.0
United States,Bachelor’s degree,4.0,25-34 years old,65000.0
Australia,Bachelor’s degree,8.0,25-34 years old,120257.0
United States,Bachelor’s degree,2.0,25-34 years old,89110.0
United States,Master’s degree,7.0,35-44 years old,200000.0
United States,Less than a Bachelors,13.0,45-54 years old,120000.0
United States,Master’s degree,18.0,35-44 years old,200000.0
Australia,Master’s degree,6.0,35-44 years old,70818.0
Australia,Post grad,5.0,25-34 years old,83512.0
Australia,Less than a Bachelors,20.0,35-44 years old,100214.0
Australia,Less than a Bachelors,12.0,45-54 years old,53448.0
United Kingdom,Master’s degree,3.0,25-34 years old,68507.0
Brazil,Bachelor’s degree,4.0,25-34 years old,19236.0
United States,Bachelor’s degree,8.0,45-54 years old,130000.0
United States,Bachelor’s degree,10.0,25-34 years old,225000.0
Canada,Bachelor’s degree,24.0,45-54 years old,34034.0
United States,Bachelor’s degree,9.0,25-34 years old,155000.0
United States,Bachelor’s degree,2.0,25-34 years old,240000.0
Germany,Bachelor’s degree,5.0,18-24 years old,75669.0
United States,Master’s degree,4.0,25-34 years old,86000.0
United States,Bachelor’s degree,3.0,25-34 years old,100000.0
Brazil,Master’s degree,10.0,25-34 years old,54972.0
Germany,Master’s degree,12.0,35-44 years old,216196.0
Brazil,Less than a Bachelors,28.0,45-54 years old,60480.0
Netherlands,Less than a Bachelors,16.0,35-44 years old,77831.0
United States,Bachelor’s degree,20.0,35-44 years old,135000.0
United States,Post grad,2.0,25-34 years old,70000.0
United States,Less than a Bachelors,5.0,35-44 years old,120000.0
India,Bachelor’s degree,0.5,18-24 years old,16817.0
Australia,Master’s degree,6.0,25-34 years old,117585.0
Canada,Post grad,4.0,25-34 years old,31765.0
United States,Bachelor’s degree,2.0,25-34 years old,100000.0
United States,Less than a Bachelors,13.0,Prefer not to say,51000.0
United States,Master’s degree,8.0,25-34 years old,105600.0
United States,Post grad,8.0,25-34 years old,100000.0
United States,Master’s degree,12.0,35-44 years old,200000.0
Canada,Bachelor’s degree,3.0,18-24 years old,56723.0
United States,Master’s degree,0.5,25-34 years old,63000.0
United States,Bachelor’s degree,0.5,18-24 years old,85000.0
Australia,Bachelor’s degree,1.0,25-34 years old,126938.0
United States,Bachelor’s degree,6.0,25-34 years old,120000.0
United States,Bachelor’s degree,9.0,25-34 years old,160000.0
United States,Bachelor’s degree,12.0,25-34 years old,220000.0
United States,Master’s degree,15.0,35-44 years old,160000.0
Canada,Master’s degree,5.0,25-34 years old,64287.0
India,Master’s degree,12.0,35-44 years old,25128.0
Netherlands,Less than a Bachelors,3.0,25-34 years old,64859.0
United States,Post grad,5.0,25-34 years old,75000.0
United States,Bachelor’s degree,6.0,18-24 years old,98000.0
United States,Bachelor’s degree,2.0,18-24 years old,110000.0
United States,Bachelor’s degree,1.0,18-24 years old,52800.0
United States,Master’s degree,10.0,35-44 years old,217000.0
United States,Bachelor’s degree,2.0,18-24 years old,67000.0
Australia,Bachelor’s degree,32.0,45-54 years old,68146.0
Australia,Bachelor’s degree,2.0,35-44 years old,80172.0
Germany,Master’s degree,20.0,35-44 years old,116746.0
United States,Master’s degree,5.0,25-34 years old,182000.0
United States,Bachelor’s degree,5.0,35-44 years old,137000.0
United States,Less than a Bachelors,25.0,35-44 years old,135000.0
United States,Bachelor’s degree,3.0,25-34 years old,140000.0
United States,Master’s degree,5.0,25-34 years old,125000.0
Canada,Master’s degree,30.0,55-64 years old,114960.0
India,Bachelor’s degree,5.0,25-34 years old,12567.0
United States,Post grad,5.0,25-34 years old,120000.0
Canada,Bachelor’s degree,14.0,35-44 years old,58992.0
Canada,Post grad,3.0,25-34 years old,114203.0
United States,Bachelor’s degree,4.0,25-34 years old,154000.0
Australia,Bachelor’s degree,15.0,35-44 years old,173705.0
United States,Less than a Bachelors,15.0,35-44 years old,140000.0
United States,Less than a Bachelors,9.0,35-44 years old,174000.0
Canada,Bachelor’s degree,11.0,35-44 years old,65421.0
United States,Master’s degree,15.0,25-34 years old,160000.0
United States,Post grad,7.0,35-44 years old,120000.0
United States,Post grad,12.0,35-44 years old,165000.0
United States,Master’s degree,15.0,35-44 years old,211000.0
Brazil,Bachelor’s degree,3.0,18-24 years old,13464.0
Germany,Post grad,24.0,35-44 years old,129718.0
United States,Bachelor’s degree,5.0,35-44 years old,100000.0
United States,Post grad,10.0,25-34 years old,200000.0
Brazil,Less than a Bachelors,30.0,35-44 years old,96204.0
Australia,Bachelor’s degree,5.0,18-24 years old,51440.0
Australia,Bachelor’s degree,3.0,18-24 years old,49974.0
Canada,Bachelor’s degree,6.0,25-34 years old,75631.0
United States,Post grad,13.0,35-44 years old,180000.0
Australia,Bachelor’s degree,12.0,25-34 years old,93533.0
United States,Post grad,15.0,45-54 years old,230000.0
United States,Bachelor’s degree,5.0,25-34 years old,70000.0
Canada,Master’s degree,4.0,25-34 years old,60505.0
Australia,Less than a Bachelors,10.0,35-44 years old,80172.0
Australia,Less than a Bachelors,3.0,25-34 years old,26700.0
Australia,Post grad,18.0,35-44 years old,267239.0
Brazil,Bachelor’s degree,3.0,25-34 years old,34360.0
United States,Bachelor’s degree,20.0,35-44 years old,175000.0
United States,Bachelor’s degree,10.0,25-34 years old,250000.0
Australia,Master’s degree,3.0,25-34 years old,56124.0
Australia,Less than a Bachelors,5.0,25-34 years old,63469.0
India,Master’s degree,13.0,35-44 years old,15084.0
Germany,Post grad,15.0,35-44 years old,64859.0
United Kingdom,Master’s degree,3.0,25-34 years old,69800.0
United States,Master’s degree,4.0,25-34 years old,125000.0
Germany,Master’s degree,5.0,25-34 years old,75669.0
India,Bachelor’s degree,3.0,18-24 years old,17450.0
Australia,Bachelor’s degree,10.0,35-44 years old,66810.0
United States,Post grad,5.0,35-44 years old,165000.0
Poland,Bachelor’s degree,7.0,25-34 years old,37968.0
India,Bachelor’s degree,5.0,25-34 years old,12566.0
United States,Bachelor’s degree,3.0,18-24 years old,50000.0
France,Master’s degree,16.0,35-44 years old,45396.0
Italy,Master’s degree,3.0,25-34 years old,35028.0
Germany,Less than a Bachelors,15.0,35-44 years old,66480.0
India,Bachelor’s degree,5.0,25-34 years old,19546.0
India,Bachelor’s degree,1.0,18-24 years old,12566.0
Poland,Master’s degree,3.0,25-34 years old,10932.0
India,Bachelor’s degree,4.0,25-34 years old,70368.0
India,Master’s degree,8.0,35-44 years old,25131.0
Spain,Bachelor’s degree,7.0,25-34 years old,59454.0
Germany,Post grad,6.0,25-34 years old,108098.0
India,Bachelor’s degree,3.0,18-24 years old,16754.0
United States,Post grad,10.0,35-44 years old,200000.0
Australia,Bachelor’s degree,5.0,35-44 years old,86853.0
United Kingdom,Less than a Bachelors,20.0,35-44 years old,103408.0
Netherlands,Bachelor’s degree,40.0,55-64 years old,71345.0
India,Bachelor’s degree,0.5,18-24 years old,192168.0
